Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Common assault,274,Mount Road,Contact Crimes,-33.955318,25.5947301,2018
Common robbery,175,Mount Road,Contact Crimes,-33.955318,25.5947301,2018
Robbery with aggravating circumstances,398,Mount Road,Contact Crimes,-33.955318,25.5947301,2018
Rape,31,Mount Road,Sexual Offences,-33.955318,25.5947301,2018
Sexual Assault,10,Mount Road,Sexual Offences,-33.955318,25.5947301,2018
Attempted Sexual Offences,2,Mount Road,Sexual Offences,-33.955318,25.5947301,2018
Contact Sexual Offences,3,Mount Road,Sexual Offences,-33.955318,25.5947301,2018
Carjacking,26,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Robbery at residential premises,16,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Robbery at non-residential premises,79,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Robbery of cash in transit,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Bank robbery,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Truck hijacking ,10,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2018
Arson,2,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2018
Malicious damage to property,312,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2018
Burglary at non-residential premises,538,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2018
Burglary at residential premises,393,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2018
Theft of motor vehicle and motorcycle,244,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2018
Theft out of or from motor vehicle,889,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2018
Stock-theft,0,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2018
All theft not mentioned elsewhere,1213,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2018
Commercial crime,359,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2018
Shoplifting,402,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2018
Illegal possession of firearms and ammunition,13,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2018
Drug-related crime,554,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2018
Driving under the influence of alcohol or drugs,142,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2018
Sexual Offences detected as a result of police action,0,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2018
Murder,85,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Attempted murder,105,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Assault with the intent to inflict grievous bodily harm,388,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Common assault,271,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Common robbery,116,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Robbery with aggravating circumstances,691,New Brighton,Contact Crimes,-33.8994277,25.5725492,2018
Rape,99,New Brighton,Sexual Offences,-33.8994277,25.5725492,2018
Sexual Assault,7,New Brighton,Sexual Offences,-33.8994277,25.5725492,2018
Attempted Sexual Offences,6,New Brighton,Sexual Offences,-33.8994277,25.5725492,2018
Contact Sexual Offences,3,New Brighton,Sexual Offences,-33.8994277,25.5725492,2018
Carjacking,122,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Robbery at residential premises,96,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Robbery at non-residential premises,23,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Robbery of cash in transit,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Bank robbery,0,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Truck hijacking ,8,New Brighton,Aggravated Robbery,-33.8994277,25.5725492,2018
Arson,10,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2018
Malicious damage to property,220,New Brighton,Contact-Related Crimes,-33.8994277,25.5725492,2018
Burglary at non-residential premises,114,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2018
Burglary at residential premises,349,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2018
Theft of motor vehicle and motorcycle,60,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2018
Theft out of or from motor vehicle,170,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2018
Stock-theft,2,New Brighton,Property-Related Crimes,-33.8994277,25.5725492,2018
All theft not mentioned elsewhere,275,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2018
Commercial crime,83,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2018
Shoplifting,68,New Brighton,Other Serious Crimes,-33.8994277,25.5725492,2018
Illegal possession of firearms and ammunition,64,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2018
Drug-related crime,399,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2018
Driving under the influence of alcohol or drugs,159,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2018
Sexual Offences detected as a result of police action,0,New Brighton,Crime detected as a result of Police Action,-33.8994277,25.5725492,2018
Murder,20,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Attempted murder,9,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Assault with the intent to inflict grievous bodily harm,90,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Common assault,120,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Common robbery,27,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Robbery with aggravating circumstances,231,Swartkops,Contact Crimes,-33.8513015,25.6041969,2018
Rape,39,Swartkops,Sexual Offences,-33.8513015,25.6041969,2018
Sexual Assault,6,Swartkops,Sexual Offences,-33.8513015,25.6041969,2018
Attempted Sexual Offences,4,Swartkops,Sexual Offences,-33.8513015,25.6041969,2018
Contact Sexual Offences,2,Swartkops,Sexual Offences,-33.8513015,25.6041969,2018
Carjacking,23,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Robbery at residential premises,23,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Robbery at non-residential premises,46,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Robbery of cash in transit,2,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Bank robbery,0,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Truck hijacking ,12,Swartkops,Aggravated Robbery,-33.8513015,25.6041969,2018
Arson,5,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2018
Malicious damage to property,114,Swartkops,Contact-Related Crimes,-33.8513015,25.6041969,2018
Burglary at non-residential premises,103,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2018
Burglary at residential premises,201,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2018
Theft of motor vehicle and motorcycle,28,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2018
Theft out of or from motor vehicle,86,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2018
Stock-theft,7,Swartkops,Property-Related Crimes,-33.8513015,25.6041969,2018
All theft not mentioned elsewhere,269,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2018
Commercial crime,40,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2018
Shoplifting,10,Swartkops,Other Serious Crimes,-33.8513015,25.6041969,2018
Illegal possession of firearms and ammunition,11,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2018
Drug-related crime,149,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2018
Driving under the influence of alcohol or drugs,85,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2018
Sexual Offences detected as a result of police action,38,Swartkops,Crime detected as a result of Police Action,-33.8513015,25.6041969,2018
Murder,9,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Attempted murder,10,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Assault with the intent to inflict grievous bodily harm,55,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Common assault,124,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Common robbery,66,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Robbery with aggravating circumstances,151,Uitenhage,Contact Crimes,-33.765462,25.4007937,2018
Rape,32,Uitenhage,Sexual Offences,-33.765462,25.4007937,2018
Sexual Assault,9,Uitenhage,Sexual Offences,-33.765462,25.4007937,2018
Attempted Sexual Offences,1,Uitenhage,Sexual Offences,-33.765462,25.4007937,2018
Contact Sexual Offences,3,Uitenhage,Sexual Offences,-33.765462,25.4007937,2018
Carjacking,8,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Robbery at residential premises,2,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Robbery at non-residential premises,25,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Robbery of cash in transit,2,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Bank robbery,0,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Truck hijacking ,7,Uitenhage,Aggravated Robbery,-33.765462,25.4007937,2018
Arson,1,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2018
Malicious damage to property,120,Uitenhage,Contact-Related Crimes,-33.765462,25.4007937,2018
Burglary at non-residential premises,106,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2018
Burglary at residential premises,218,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2018
Theft of motor vehicle and motorcycle,62,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2018
Theft out of or from motor vehicle,202,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2018
Stock-theft,21,Uitenhage,Property-Related Crimes,-33.765462,25.4007937,2018
All theft not mentioned elsewhere,483,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2018
Commercial crime,113,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2018
Shoplifting,173,Uitenhage,Other Serious Crimes,-33.765462,25.4007937,2018
Illegal possession of firearms and ammunition,5,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2018
Drug-related crime,390,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2018
Driving under the influence of alcohol or drugs,220,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2018
Sexual Offences detected as a result of police action,184,Uitenhage,Crime detected as a result of Police Action,-33.765462,25.4007937,2018
Murder,19,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Attempted murder,20,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Assault with the intent to inflict grievous bodily harm,256,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Common assault,201,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Common robbery,74,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Robbery with aggravating circumstances,334,Walmer,Contact Crimes,-33.9788678,25.5853756,2018
Rape,57,Walmer,Sexual Offences,-33.9788678,25.5853756,2018
Sexual Assault,12,Walmer,Sexual Offences,-33.9788678,25.5853756,2018
Attempted Sexual Offences,3,Walmer,Sexual Offences,-33.9788678,25.5853756,2018
Contact Sexual Offences,1,Walmer,Sexual Offences,-33.9788678,25.5853756,2018
Carjacking,7,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Robbery at residential premises,114,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Robbery at non-residential premises,48,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Robbery of cash in transit,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Bank robbery,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Truck hijacking ,0,Walmer,Aggravated Robbery,-33.9788678,25.5853756,2018
Arson,8,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2018
Malicious damage to property,314,Walmer,Contact-Related Crimes,-33.9788678,25.5853756,2018
Burglary at non-residential premises,119,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2018
Burglary at residential premises,743,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2018
Theft of motor vehicle and motorcycle,134,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2018
Theft out of or from motor vehicle,435,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2018
Stock-theft,2,Walmer,Property-Related Crimes,-33.9788678,25.5853756,2018
All theft not mentioned elsewhere,695,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2018
Commercial crime,195,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2018
Shoplifting,119,Walmer,Other Serious Crimes,-33.9788678,25.5853756,2018
Illegal possession of firearms and ammunition,18,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2018
Drug-related crime,304,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2018
Driving under the influence of alcohol or drugs,137,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2018
Sexual Offences detected as a result of police action,0,Walmer,Crime detected as a result of Police Action,-33.9788678,25.5853756,2018
Murder,23,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Attempted murder,23,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Assault with the intent to inflict grievous bodily harm,137,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Common assault,223,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Common robbery,81,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Robbery with aggravating circumstances,262,Algoapark,Contact Crimes,-33.9031712,25.5704957,2019
Rape,52,Algoapark,Sexual Offences,-33.9031712,25.5704957,2019
Sexual Assault,12,Algoapark,Sexual Offences,-33.9031712,25.5704957,2019
Attempted Sexual Offences,0,Algoapark,Sexual Offences,-33.9031712,25.5704957,2019
Contact Sexual Offences,7,Algoapark,Sexual Offences,-33.9031712,25.5704957,2019
Carjacking,31,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Robbery at residential premises,19,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Robbery at non-residential premises,55,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Robbery of cash in transit,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Bank robbery,0,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Truck hijacking ,4,Algoapark,Aggravated Robbery,-33.9031712,25.5704957,2019
Arson,8,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2019
Malicious damage to property,196,Algoapark,Contact-Related Crimes,-33.9031712,25.5704957,2019
Burglary at non-residential premises,212,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2019
Burglary at residential premises,253,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2019
Theft of motor vehicle and motorcycle,47,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2019
Theft out of or from motor vehicle,357,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2019
Stock-theft,0,Algoapark,Property-Related Crimes,-33.9031712,25.5704957,2019
All theft not mentioned elsewhere,487,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2019
Commercial crime,129,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2019
Shoplifting,227,Algoapark,Other Serious Crimes,-33.9031712,25.5704957,2019
Illegal possession of firearms and ammunition,21,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2019
Drug-related crime,195,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2019
Driving under the influence of alcohol or drugs,79,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2019
Sexual Offences detected as a result of police action,0,Algoapark,Crime detected as a result of Police Action,-33.9031712,25.5704957,2019
Murder,143,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Attempted murder,226,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Assault with the intent to inflict grievous bodily harm,380,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Common assault,399,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Common robbery,112,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Robbery with aggravating circumstances,515,Bethelsdorp,Contact Crimes,-33.8705197,25.5124711,2019
Rape,117,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2019
Sexual Assault,24,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2019
Attempted Sexual Offences,4,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2019
Contact Sexual Offences,7,Bethelsdorp,Sexual Offences,-33.8705197,25.5124711,2019
Carjacking,52,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Robbery at residential premises,81,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Robbery at non-residential premises,33,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Robbery of cash in transit,0,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Bank robbery,0,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Truck hijacking ,5,Bethelsdorp,Aggravated Robbery,-33.8705197,25.5124711,2019
Arson,28,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2019
Malicious damage to property,646,Bethelsdorp,Contact-Related Crimes,-33.8705197,25.5124711,2019
Burglary at non-residential premises,78,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2019
Burglary at residential premises,404,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2019
Theft of motor vehicle and motorcycle,39,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2019
Theft out of or from motor vehicle,226,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2019
Stock-theft,4,Bethelsdorp,Property-Related Crimes,-33.8705197,25.5124711,2019
All theft not mentioned elsewhere,561,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2019
Commercial crime,31,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2019
Shoplifting,8,Bethelsdorp,Other Serious Crimes,-33.8705197,25.5124711,2019
Illegal possession of firearms and ammunition,121,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2019
Drug-related crime,454,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2019
Driving under the influence of alcohol or drugs,36,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2019
Sexual Offences detected as a result of police action,2,Bethelsdorp,Crime detected as a result of Police Action,-33.8705197,25.5124711,2019
Murder,4,Despatch,Contact Crimes,-33.803171,25.472662,2019
Attempted murder,11,Despatch,Contact Crimes,-33.803171,25.472662,2019
Assault with the intent to inflict grievous bodily harm,83,Despatch,Contact Crimes,-33.803171,25.472662,2019
Common assault,82,Despatch,Contact Crimes,-33.803171,25.472662,2019
Common robbery,17,Despatch,Contact Crimes,-33.803171,25.472662,2019
Robbery with aggravating circumstances,63,Despatch,Contact Crimes,-33.803171,25.472662,2019
Rape,32,Despatch,Sexual Offences,-33.803171,25.472662,2019
Sexual Assault,8,Despatch,Sexual Offences,-33.803171,25.472662,2019
Attempted Sexual Offences,1,Despatch,Sexual Offences,-33.803171,25.472662,2019
Contact Sexual Offences,3,Despatch,Sexual Offences,-33.803171,25.472662,2019
Carjacking,7,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Robbery at residential premises,9,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Robbery at non-residential premises,10,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Robbery of cash in transit,1,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Bank robbery,0,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Truck hijacking ,3,Despatch,Aggravated Robbery,-33.803171,25.472662,2019
Arson,4,Despatch,Contact-Related Crimes,-33.803171,25.472662,2019
Malicious damage to property,74,Despatch,Contact-Related Crimes,-33.803171,25.472662,2019
Burglary at non-residential premises,39,Despatch,Property-Related Crimes,-33.803171,25.472662,2019
Burglary at residential premises,177,Despatch,Property-Related Crimes,-33.803171,25.472662,2019
Theft of motor vehicle and motorcycle,22,Despatch,Property-Related Crimes,-33.803171,25.472662,2019
Theft out of or from motor vehicle,87,Despatch,Property-Related Crimes,-33.803171,25.472662,2019
Stock-theft,7,Despatch,Property-Related Crimes,-33.803171,25.472662,2019
All theft not mentioned elsewhere,156,Despatch,Other Serious Crimes,-33.803171,25.472662,2019
Commercial crime,26,Despatch,Other Serious Crimes,-33.803171,25.472662,2019
Shoplifting,17,Despatch,Other Serious Crimes,-33.803171,25.472662,2019
Illegal possession of firearms and ammunition,8,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2019
Drug-related crime,88,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2019
Driving under the influence of alcohol or drugs,28,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2019
Sexual Offences detected as a result of police action,8,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2019
Murder,84,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Attempted murder,228,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Assault with the intent to inflict grievous bodily harm,324,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Common assault,449,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Common robbery,137,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Robbery with aggravating circumstances,376,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2019
Rape,83,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2019
Sexual Assault,24,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2019
Attempted Sexual Offences,4,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2019
Contact Sexual Offences,1,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2019
Carjacking,14,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Robbery at residential premises,30,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Robbery at non-residential premises,24,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Robbery of cash in transit,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Bank robbery,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Truck hijacking ,2,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2019
Arson,10,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2019
Malicious damage to property,441,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2019
Burglary at non-residential premises,87,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2019
Burglary at residential premises,222,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2019
Theft of motor vehicle and motorcycle,29,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2019
Theft out of or from motor vehicle,163,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2019
Stock-theft,0,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2019
All theft not mentioned elsewhere,470,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2019
Commercial crime,83,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2019
Shoplifting,233,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2019
Illegal possession of firearms and ammunition,61,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2019
Drug-related crime,624,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2019
Driving under the influence of alcohol or drugs,68,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2019
Sexual Offences detected as a result of police action,0,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2019
Murder,11,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Attempted murder,17,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Assault with the intent to inflict grievous bodily harm,93,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Common assault,185,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Common robbery,204,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Robbery with aggravating circumstances,405,Humewood,Contact Crimes,-33.9737486,25.6259001,2019
Rape,46,Humewood,Sexual Offences,-33.9737486,25.6259001,2019
Sexual Assault,12,Humewood,Sexual Offences,-33.9737486,25.6259001,2019
Attempted Sexual Offences,2,Humewood,Sexual Offences,-33.9737486,25.6259001,2019
Contact Sexual Offences,1,Humewood,Sexual Offences,-33.9737486,25.6259001,2019
Carjacking,25,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Robbery at residential premises,44,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Robbery at non-residential premises,31,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Robbery of cash in transit,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Bank robbery,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Truck hijacking ,1,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2019
Arson,2,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2019
Malicious damage to property,192,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2019
Burglary at non-residential premises,166,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2019
Burglary at residential premises,364,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2019
Theft of motor vehicle and motorcycle,180,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2019
Theft out of or from motor vehicle,1239,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2019
Stock-theft,0,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2019
All theft not mentioned elsewhere,882,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2019
Commercial crime,283,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2019
Shoplifting,159,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2019
Illegal possession of firearms and ammunition,17,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2019
Drug-related crime,445,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2019
Driving under the influence of alcohol or drugs,129,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2019
Sexual Offences detected as a result of police action,1,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2019
Murder,24,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Attempted murder,25,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Assault with the intent to inflict grievous bodily harm,171,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Common assault,104,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Common robbery,28,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Robbery with aggravating circumstances,173,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2019
Rape,36,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2019
Sexual Assault,2,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2019
Attempted Sexual Offences,0,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2019
Contact Sexual Offences,1,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2019
Carjacking,23,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Robbery at residential premises,32,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Robbery at non-residential premises,25,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Robbery of cash in transit,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Bank robbery,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Truck hijacking ,2,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2019
Arson,7,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2019
Malicious damage to property,85,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2019
Burglary at non-residential premises,47,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2019
Burglary at residential premises,146,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2019
